iter	Passed	Remaining
1020	2179	2191
1021	2180	2189
1022	2182	2187
1023	2184	2184
1024	2186	2182
1025	2188	2179
1026	2190	2177
1027	2192	2175
1028	2194	2173
1029	2196	2170
1030	2198	2168
1031	2200	2166
1032	2202	2163
1033	2204	2161
1034	2205	2159
1035	2207	2156
1036	2209	2154
1037	2211	2151
1038	2213	2149
1039	2215	2147
1040	2217	2144
1041	2219	2142
1042	2221	2140
1043	2222	2137
1044	2224	2135
1045	2226	2132
1046	2228	2130
1047	2230	2128
1048	2232	2125
1049	2234	2123
1050	2236	2121
1051	2238	2119
1052	2240	2116
1053	2242	2114
1054	2244	2112
1055	2246	2110
1056	2248	2107
1057	2249	2105
1058	2251	2102
1059	2253	2100
1060	2255	2098
1061	2257	2095
1062	2259	2093
1063	2260	2090
1064	2262	2088
1065	2264	2086
1066	2266	2083
1067	2268	2081
1068	2270	2079
1069	2272	2076
1070	2274	2074
1071	2276	2072
1072	2277	2069
1073	2279	2067
1074	2281	2065
1075	2283	2062
1076	2285	2060
1077	2287	2058
1078	2289	2055
1079	2291	2053
1080	2293	2051
1081	2294	2048
1082	2296	2046
1083	2298	2044
1084	2300	2042
1085	2302	2039
1086	2304	2037
1087	2306	2035
1088	2308	2033
1089	2310	2030
1090	2312	2028
1091	2314	2025
1092	2315	2023
1093	2317	2021
1094	2319	2018
1095	2321	2016
1096	2323	2014
1097	2325	2011
1098	2326	2009
1099	2328	2007
1100	2330	2004
1101	2332	2002
1102	2334	2000
1103	2336	1997
1104	2338	1995
1105	2340	1993
1106	2342	1991
1107	2344	1988
1108	2346	1986
1109	2347	1984
1110	2349	1981
1111	2351	1979
1112	2353	1976
1113	2355	1974
1114	2356	1972
1115	2358	1969
1116	2360	1967
1117	2362	1965
1118	2364	1962
1119	2366	1960
1120	2368	1958
1121	2370	1956
1122	2372	1953
1123	2374	1951
1124	2391	1961
1125	2393	1959
1126	2394	1957
1127	2396	1954
1128	2398	1952
1129	2400	1950
1130	2402	1947
1131	2404	1945
1132	2406	1943
1133	2408	1941
1134	2410	1938
1135	2412	1936
1136	2414	1934
1137	2416	1932
1138	2418	1930
1139	2420	1928
1140	2422	1925
1141	2424	1923
